epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1046.15,2.20077,3.03284,1.76529,0.3909,0.2372,0.20235,0.09535,2.02221,2.7147,1.57451,0.000550219,0.000550219,0.000550219
2,2021.11,1.98255,2.40118,1.59932,0.36904,0.30357,0.22973,0.12863,1.95094,2.57987,1.73311,0.00108399,0.00108399,0.00108399
3,2972.92,1.92748,2.26482,1.57461,0.37597,0.28669,0.21675,0.11402,2.06293,2.72088,1.81716,0.00159575,0.00159575,0.00159575
4,3838.16,1.91233,2.20202,1.55994,0.41642,0.28024,0.24051,0.13134,2.00225,2.45972,1.72682,0.00156798,0.00156798,0.00156798
5,4702.64,1.84049,2.08504,1.50916,0.43201,0.36556,0.28963,0.15973,1.90683,2.26109,1.66376,0.00153497,0.00153497,0.00153497
6,5568.49,1.81957,2.05366,1.50413,0.4739,0.35816,0.31036,0.1867,1.80003,2.41133,1.54609,0.00150197,0.00150197,0.00150197
7,6421.09,1.77678,1.99892,1.47806,0.48601,0.39197,0.32393,0.19327,1.78338,2.11625,1.54657,0.00146896,0.00146896,0.00146896
8,7274.02,1.75492,1.95589,1.46487,0.49331,0.38679,0.31908,0.18557,1.78489,2.09642,1.53155,0.00143595,0.00143595,0.00143595
9,8126.01,1.72481,1.92459,1.44799,0.48009,0.38908,0.32453,0.19684,1.77931,2.08976,1.5384,0.00140295,0.00140295,0.00140295
10,8977.66,1.71571,1.91965,1.44038,0.48998,0.3947,0.34244,0.21043,1.71825,1.97919,1.47335,0.00136994,0.00136994,0.00136994
11,9826.11,1.69233,1.87931,1.43019,0.49828,0.4015,0.34667,0.21624,1.69756,2.00091,1.49983,0.00133693,0.00133693,0.00133693
12,10669,1.67405,1.85797,1.42862,0.51088,0.42764,0.35727,0.22313,1.69118,1.94279,1.46317,0.00130393,0.00130393,0.00130393
13,11515.6,1.69317,1.86353,1.4257,0.5494,0.40423,0.36401,0.22842,1.6706,1.92562,1.47968,0.00127092,0.00127092,0.00127092
14,12358.6,1.64924,1.81149,1.40272,0.51569,0.42408,0.36549,0.2286,1.64614,1.98377,1.42739,0.00123791,0.00123791,0.00123791
15,13204.1,1.62085,1.77087,1.3851,0.52135,0.40884,0.35752,0.221,1.6423,1.96714,1.43249,0.00120491,0.00120491,0.00120491
16,14044.7,1.60848,1.7668,1.37598,0.52736,0.43231,0.38456,0.24526,1.63259,1.88192,1.44124,0.0011719,0.0011719,0.0011719
17,14895.1,1.61175,1.76552,1.38591,0.50099,0.43844,0.36532,0.23109,1.65529,1.94647,1.43667,0.00113889,0.00113889,0.00113889
18,15749.6,1.59101,1.72681,1.35964,0.53265,0.42313,0.36992,0.23733,1.61909,1.86504,1.43299,0.00110589,0.00110589,0.00110589
19,16740.2,1.58939,1.72341,1.3587,0.53732,0.43954,0.37465,0.24336,1.62175,1.83926,1.44235,0.00107288,0.00107288,0.00107288
20,17620.2,1.55482,1.70412,1.34971,0.52118,0.4419,0.37378,0.2397,1.61838,1.88768,1.4201,0.00103987,0.00103987,0.00103987
21,18430.3,1.56468,1.70876,1.36073,0.51506,0.43979,0.38321,0.2475,1.60545,1.85113,1.40495,0.00100687,0.00100687,0.00100687
22,19283.5,1.57292,1.71909,1.36438,0.55077,0.41024,0.37835,0.24243,1.61567,1.92604,1.43075,0.000973861,0.000973861,0.000973861
23,20161.5,1.53935,1.67535,1.3393,0.51186,0.44507,0.38031,0.24291,1.60463,1.8459,1.41809,0.000940855,0.000940855,0.000940855
24,20974.3,1.53445,1.64991,1.32034,0.55547,0.43308,0.38899,0.25541,1.55662,1.78131,1.39491,0.000907848,0.000907848,0.000907848
25,21782.3,1.54242,1.67439,1.34203,0.54725,0.43674,0.38705,0.24641,1.56816,1.85689,1.41927,0.000874842,0.000874842,0.000874842
26,22581.2,1.53017,1.65737,1.32444,0.54617,0.46095,0.39691,0.25925,1.56752,1.76575,1.41079,0.000841835,0.000841835,0.000841835
27,23390.2,1.51858,1.63429,1.31458,0.53855,0.44054,0.39129,0.25263,1.55728,1.77665,1.38865,0.000808828,0.000808828,0.000808828
28,24195.9,1.5065,1.61326,1.31023,0.57381,0.44035,0.40172,0.26072,1.55026,1.77409,1.39307,0.000775822,0.000775822,0.000775822
29,25004,1.51961,1.63344,1.31989,0.55058,0.42194,0.38443,0.25123,1.58443,1.79431,1.39424,0.000742815,0.000742815,0.000742815
30,25805.8,1.47692,1.57606,1.29173,0.54746,0.45047,0.39983,0.25892,1.5572,1.85338,1.3808,0.000709809,0.000709809,0.000709809
31,26604.6,1.47028,1.5684,1.29664,0.56884,0.44727,0.40265,0.26383,1.55698,1.73709,1.38039,0.000676802,0.000676802,0.000676802
32,27406.8,1.47038,1.56125,1.29715,0.56625,0.45131,0.4052,0.26357,1.55843,1.75435,1.38783,0.000643795,0.000643795,0.000643795
33,28213.9,1.46326,1.56312,1.29281,0.56347,0.45198,0.4075,0.26593,1.55925,1.77696,1.39011,0.000610789,0.000610789,0.000610789
34,28949.2,1.47891,1.57186,1.29487,0.57212,0.45248,0.40728,0.26728,1.54047,1.73794,1.3685,0.000577782,0.000577782,0.000577782
35,29695.2,1.45146,1.54665,1.28414,0.57415,0.46287,0.4214,0.27867,1.51929,1.69632,1.37709,0.000544776,0.000544776,0.000544776
36,30433.6,1.437,1.50755,1.27381,0.56868,0.44833,0.40325,0.26373,1.52484,1.75234,1.37942,0.000511769,0.000511769,0.000511769
37,31177.9,1.42178,1.5105,1.2716,0.56824,0.46732,0.4097,0.27226,1.50938,1.7197,1.36843,0.000478762,0.000478762,0.000478762
38,31924,1.42853,1.51235,1.27241,0.56529,0.44729,0.40461,0.26677,1.52094,1.73972,1.35856,0.000445756,0.000445756,0.000445756
39,32663,1.43744,1.54334,1.27901,0.55159,0.4436,0.4035,0.26474,1.51619,1.77234,1.37004,0.000412749,0.000412749,0.000412749
40,33406.6,1.41741,1.4927,1.25989,0.55207,0.44248,0.40517,0.26673,1.51392,1.77088,1.35734,0.000379743,0.000379743,0.000379743
41,34140,1.36961,1.47763,1.25511,0.56248,0.45441,0.40867,0.27131,1.51236,1.70851,1.35198,0.000346736,0.000346736,0.000346736
42,34868.2,1.34901,1.43998,1.25721,0.57265,0.45854,0.41003,0.27329,1.52145,1.75398,1.3585,0.000313729,0.000313729,0.000313729
43,35595.4,1.34669,1.42286,1.25009,0.55036,0.46029,0.40602,0.26544,1.5121,1.72658,1.35567,0.000280723,0.000280723,0.000280723
44,36323.2,1.32582,1.38798,1.2423,0.53348,0.45378,0.40239,0.26218,1.52583,1.76498,1.36173,0.000247716,0.000247716,0.000247716
45,37054.6,1.3136,1.38319,1.23262,0.56623,0.45483,0.40682,0.2686,1.49711,1.75879,1.34747,0.00021471,0.00021471,0.00021471
46,37780.3,1.31683,1.36038,1.22607,0.53806,0.46978,0.40237,0.26876,1.50056,1.76203,1.34774,0.000181703,0.000181703,0.000181703
47,38509.1,1.30084,1.35308,1.2189,0.53041,0.4699,0.40206,0.26631,1.52203,1.75952,1.36155,0.000148696,0.000148696,0.000148696
48,39231.3,1.3025,1.33904,1.22685,0.54624,0.44455,0.39841,0.26165,1.516,1.75605,1.35981,0.00011569,0.00011569,0.00011569
49,39959.3,1.28188,1.31444,1.21642,0.56211,0.45223,0.40827,0.27109,1.51631,1.7502,1.35949,8.26832e-05,8.26832e-05,8.26832e-05
50,40688.4,1.27596,1.29471,1.20529,0.54825,0.46759,0.40769,0.26926,1.51837,1.75403,1.359,4.96766e-05,4.96766e-05,4.96766e-05
